 
 USERNAME              SESSIONNAME        ID  STATE   IDLE TIME  LOGON TIME
 tzhang                                    2  Disc         4:26  6/30/2020 4:25 PM
 jeb0100                                   3  Disc         4:27  6/30/2020 9:28 PM
 cmoran                                    4  Disc      1+19:22  7/1/2020 12:04 AM
 cl2020                                    5  Disc         9:05  7/1/2020 8:39 AM
 arg0102                                   6  Disc         9:38  7/1/2020 9:14 AM
 bboyle                rdp-tcp#66          7  Active          1  7/1/2020 10:05 AM
 clin                                      8  Disc         3:58  7/1/2020 3:23 PM
>mtw004                rdp-tcp#20          9  Active          .  7/6/2020 10:54 AM
