#TYPE System.Management.Automation.PSCustomObject,,
Time,User,Event
6/1/2020 13:16,VMHOST\mtw004,Logon
6/1/2020 16:05,VMHOST\mtw004,Logoff
6/1/2020 21:33,VMHOST\mtw004,Logon
6/2/2020 12:03,VMHOST\mtw004,Logoff
6/2/2020 13:02,VMHOST\mtw004,Logon
6/3/2020 13:42,VMHOST\mtw004,Logoff
6/3/2020 13:49,VMHOST\mtw004,Logon
6/16/2020 22:19,VMHOST\mtw004,Logoff
6/17/2020 9:13,VMHOST\mtw004,Logon
6/24/2020 18:16,VMHOST\mtw004,Logoff
6/24/2020 18:16,VMHOST\mtw004,Logon
6/29/2020 13:59,VMHOST\mtw004,Logoff
6/29/2020 13:59,VMHOST\mtw004,Logon
6/10/2020 10:54,VMHOST\tzhang,Logon
6/16/2020 22:19,VMHOST\tzhang,Logoff
6/17/2020 8:11,VMHOST\tzhang,Logon
